genus,species,s_LMA,s_Nmass,s_Pmass,s_wsg,s_dbhmax,s_hmax,s_ah,s_seedmass,s_regionalfreq,s_tlp,s_drymass
Licania,canescens,102.52,0.0206,4.366e-4,0.766,0.29,27.27,0.11,1,0.00526315789473684,-2.047826666625,0.279396825484813
Licania,membranacea,127.69,0.0163,3.884e-4,0.785,0.56,43.24,0.196,1,0.00526315789473684,-2.23912888866667,0.561384614939109
Manilkara,huberi,194.29,0.015,4.925e-4,0.75,0.88,50.92,0.308,1,0.00526315789473684,-2.2482,1.85459999243418
Micropholis,cayennensis,170.57,0.015,3.879e-4,0.563,0.67,50.92,0.308,1,0.00526315789473684,-1.88732,2.12416665256024
Minquartia,guianensis,80.91,0.0221,6.279e-4,0.686,0.87,50.92,0.308,1,0.00526315789473684,-1.611373333,0.51503509296137
Neea,floribunda,74.27,0.036,7.652e-4,0.451,0.28,50.92,0.308,1,0.00526315789473684,-1.90604,0.616925922808824
Pouteria,cladantha,129.87,0.013,3.076e-4,0.811,0.32,50.92,0.308,1,0.00526315789473684,-1.926146667,0.333555556005902
Pouteria,filipes,80.34,0.0278,8.959e-4,0.696,0.68,50.92,0.308,1,0.00526315789473684,-2.19932,0.374866670370102
Pouteria,gonggrijpii,110.67,0.0204,5.6e-4,0.698,0.36,25.9,0.103,1,0.00526315789473684,-2.075213333,0.805405794602373
Protium,gallicum,74.58,0.0184,5.926e-4,0.639,0.28,31.79,0.116,1,0.00526315789473684,-2.49719333325,0.117902124749203
Protium,opacum,90.92,0.0163,6.818e-4,0.562,0.32,38.5,0.184,1,0.00526315789473684,-1.98184444433333,0.647198198614894
Protium,sagotianum,95.81,0.0174,6.486e-4,0.577,0.41,40.5,0.193,1,0.00526315789473684,-2.28685333325,0.854013889407118
Protium,trifoliolatum,68.09,0.0193,5.802e-4,0.659,0.28,50.92,0.308,1,0.00526315789473684,-2.3119866665,0.158499999858794
Qualea,rosea,105.96,0.0184,5.3e-4,0.548,0.5,58.07,0.299,1,0.00526315789473684,-1.77916,0.440238993544624
Quararibea,duckei,50.81,0.0328,0.0010321,0.527,0.14,19.38,0.07,1,0.00526315789473684,-2.064536,0.491190475899549
Theobroma,subincanum,84.33,0.0188,5.89e-4,0.553,0.28,41.38,0.211,1,0.00526315789473684,-1.88714666675,0.642999999955588
Unonopsis,rufescens,67.85,0.0211,6.109e-4,0.564,0.15,17.64,0.025,1,0.00526315789473684,-1.82330222233333,0.393166667264369
Virola,michelii,95.15,0.024,6.31e-4,0.476,0.62,46.18,0.229,1,0.00526315789473684,-1.741373333,0.426349462881204
Vouacapoua,americana,72,0.026,0.0016023,0.662,0.81,54.54,0.344,1,0.00526315789473684,-2.14674222233333,0.272567566450652
